
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.040231;0.0476;0.2667;0.9015;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.090628;0.0830;0.2480;0.8683;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.092483;0.0818;0.2280;0.8097;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.093777;0.0490;0.1941;0.8041;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.135313;0.0490;0.1941;0.8041;0.0000;0.0000;0.0000;12.3375;13.8563;-49.0313;
0.137203;0.0295;0.1573;0.8591;0.0000;0.0000;0.0000;12.3375;13.8563;-49.0313;
0.138504;0.1239;0.1833;1.0342;0.0000;0.0000;0.0000;12.3375;13.8563;-49.0313;
0.156578;0.2005;0.2236;1.1442;0.0000;0.0000;0.0000;12.3375;13.8563;-49.0313;
0.183253;0.1671;0.1902;1.2554;0.0000;0.0000;0.0000;12.3375;13.8563;-49.0313;
0.185037;0.1671;0.1902;1.2554;0.0000;0.0000;0.0000;15.9375;17.5688;-47.7938;
0.223469;0.0711;0.0973;1.2953;0.0000;0.0000;0.0000;15.9375;17.5688;-47.7938;
0.226250;0.0043;0.0233;1.1729;0.0000;0.0000;0.0000;15.9375;17.5688;-47.7938;
0.227238;-0.0389;-0.0031;1.1401;0.0000;0.0000;0.0000;15.9375;17.5688;-47.7938;
0.232540;-0.0389;-0.0031;1.1401;0.0000;0.0000;0.0000;18.1313;20.3438;-46.5938;
0.255548;-0.0818;-0.0009;1.0795;0.0000;0.0000;0.0000;18.1313;20.3438;-46.5938;
0.257496;-0.0818;-0.0009;1.0795;0.0000;0.0000;0.0000;18.1313;20.3438;-46.5938;
0.258512;-0.0818;-0.0009;1.0795;0.0000;0.0000;0.0000;18.1313;20.3438;-46.5938;
0.282857;-0.1027;0.0649;1.1047;0.0000;0.0000;0.0000;18.1313;20.3438;-46.5938;
0.284976;-0.1027;0.0649;1.1047;0.7108;0.2262;-0.7855;18.1313;20.3438;-46.5938;
0.289329;-0.1054;0.1875;0.9960;0.7108;0.2262;-0.7855;18.1313;20.3438;-46.5938;
0.312861;-0.1054;0.1875;0.9960;0.7108;0.2262;-0.7855;18.1313;20.3438;-46.5938;
0.314790;-0.0835;0.2999;0.7717;0.7108;0.2262;-0.7855;18.1313;20.3438;-46.5938;
0.321972;-0.0835;0.2999;0.7717;1.0777;0.0533;-0.3441;18.1313;20.3438;-46.5938;
0.331429;-0.0447;0.3279;0.8183;1.0777;0.0533;-0.3441;18.1313;20.3438;-46.5938;
