
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.090074;0.0608;0.5304;0.8780;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.151037;0.0593;0.5167;0.8408;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.173013;0.0593;0.5167;0.8408;0.0000;0.0000;0.0000;16.5188;-30.6938;-24.8438;
0.221479;0.0669;0.5070;0.8866;0.0000;0.0000;0.0000;16.5188;-30.6938;-24.8438;
0.224846;0.0669;0.5070;0.8866;0.0000;0.0000;0.0000;16.5563;-31.1250;-24.9188;
0.231793;0.0669;0.5070;0.8866;0.0000;0.0000;0.0000;16.5563;-31.1250;-24.9188;
0.251356;0.0669;0.5070;0.8866;-0.0957;0.1156;-0.0580;16.5563;-31.1250;-24.9188;
0.271996;0.0669;0.5070;0.8866;-0.0957;0.1156;-0.0580;17.0625;-31.3125;-24.9000;
0.280869;0.0375;0.5097;0.8719;-0.0957;0.1156;-0.0580;17.0625;-31.3125;-24.9000;
0.291069;0.0375;0.5097;0.8719;-0.0957;0.1156;-0.0580;17.0625;-31.3125;-24.9000;
0.292590;0.0375;0.5097;0.8719;0.0111;0.0384;-0.0597;17.0625;-31.3125;-24.9000;
0.351480;0.0375;0.5097;0.8719;0.0111;0.0384;-0.0597;17.0625;-31.3125;-24.9000;
0.353097;0.0391;0.5088;0.8597;0.0111;0.0384;-0.0597;17.0625;-31.3125;-24.9000;
0.354555;0.0391;0.5088;0.8597;0.0111;0.0384;-0.0597;17.0625;-31.3125;-24.9000;
0.371739;0.0391;0.5088;0.8597;0.0249;0.1286;-0.1185;17.0625;-31.3125;-24.9000;
0.374290;0.0391;0.5088;0.8597;0.0249;0.1286;-0.1185;17.5688;-31.8000;-23.7750;
0.414395;0.0391;0.5088;0.8597;0.0249;0.1286;-0.1185;17.5688;-31.8000;-23.7750;
0.421475;0.0424;0.4986;0.8528;0.0249;0.1286;-0.1185;17.5688;-31.8000;-23.7750;
0.423647;0.0424;0.4986;0.8528;0.0249;0.1286;-0.1185;17.5500;-31.9125;-24.3563;
0.450879;0.0424;0.4986;0.8528;0.0318;0.6219;-0.2025;17.5500;-31.9125;-24.3563;
0.471781;0.0424;0.4986;0.8528;0.0318;0.6219;-0.2025;17.5500;-31.9125;-24.3563;
0.473689;0.0424;0.4986;0.8528;0.0318;0.6219;-0.2025;17.5500;-31.9125;-24.3563;
0.475139;0.0424;0.4986;0.8528;0.0318;0.6219;-0.2025;19.4062;-31.5750;-23.8875;
0.482048;-0.0014;0.5063;0.8113;0.0318;0.6219;-0.2025;19.4062;-31.5750;-23.8875;
0.491321;-0.0014;0.5063;0.8113;-0.3266;0.1779;-0.2915;19.4062;-31.5750;-23.8875;
0.532476;-0.0014;0.5063;0.8113;-0.3266;0.1779;-0.2915;19.4062;-31.5750;-23.8875;
0.551976;0.0184;0.4441;0.8195;-0.3266;0.1779;-0.2915;19.4062;-31.5750;-23.8875;
