time;gFx;gFy;gFz;TgF
0.003816302;-0.0732;0.1307;1.0247;1.036
0.004671667;-0.0741;0.1250;1.0098;1.020
0.005221771;-0.0714;0.1292;1.0032;1.014
0.006338854;-0.0678;0.1324;0.9949;1.006
0.006696771;-0.0744;0.1299;0.9836;0.995
0.00695474;-0.0732;0.1321;0.9824;0.994
0.007192344;-0.0739;0.1343;0.9753;0.987
0.00742974;-0.0702;0.1368;0.9753;0.987
0.013153959;-0.0749;0.1370;0.9761;0.988
0.013860469;-0.0700;0.1392;0.9716;0.984
0.014113854;-0.0685;0.1375;0.9694;0.982
0.014374167;-0.0660;0.1363;0.9728;0.985
0.015535417;-0.0612;0.1363;0.9751;0.986
0.015987865;-0.0599;0.1405;0.9716;0.984
0.019947656;-0.0541;0.1390;0.9782;0.990
0.031911615;-0.0514;0.1439;0.9814;0.993
0.032289948;-0.0475;0.1434;0.9844;0.996
0.032437604;-0.0443;0.1458;0.9890;1.001
0.032566042;-0.0429;0.1434;0.9914;1.003
0.034971042;-0.0399;0.1429;0.9902;1.001
0.035276511;-0.0438;0.1412;0.9912;1.002
0.041798177;-0.0345;0.1395;0.9900;1.000
0.042146979;-0.0367;0.1409;0.9880;0.999
0.042285781;-0.0311;0.1409;0.9787;0.989
0.04654625;-0.0289;0.1382;0.9782;0.988
0.046868177;-0.0272;0.1402;0.9787;0.989
0.048545677;-0.0289;0.1390;0.9706;0.981
0.051624167;-0.0299;0.1387;0.9702;0.980
0.053452292;-0.0284;0.1382;0.9660;0.976
0.057298125;-0.0255;0.1377;0.9614;0.972
0.061706146;-0.0274;0.1409;0.9650;0.976
0.063794271;-0.0277;0.1363;0.9672;0.977
0.064136406;-0.0243;0.1353;0.9682;0.978
0.0666225;-0.0243;0.1387;0.9699;0.980
0.069760834;-0.0257;0.1397;0.9663;0.977
0.074107969;-0.0272;0.1351;0.9665;0.976
0.076171146;-0.0257;0.1392;0.9692;0.979
0.078195677;-0.0296;0.1360;0.9716;0.982
0.082365886;-0.0309;0.1324;0.9743;0.984
0.082843698;-0.0313;0.1314;0.9812;0.990
0.083410313;-0.0350;0.1333;0.9765;0.986
0.087143906;-0.0389;0.1302;0.9861;0.995
0.089646771;-0.0355;0.1292;0.9883;0.997
0.091851875;-0.0350;0.1311;0.9880;0.997
0.094048594;-0.0370;0.1331;0.9956;1.005
0.097661406;-0.0306;0.1287;0.9944;1.003
0.100563438;-0.0306;0.1282;0.9895;0.998
0.103086979;-0.0350;0.1304;0.9934;1.003
0.104819948;-0.0279;0.1319;0.9961;1.005
0.105336354;-0.0333;0.1280;0.9905;0.999
0.107967292;-0.0333;0.1299;0.9846;0.994
0.11277;-0.0333;0.1329;0.9880;0.997
0.113297188;-0.0343;0.1326;0.9848;0.994
0.117550261;-0.0304;0.1331;0.9870;0.996
0.121735573;-0.0323;0.1316;0.9807;0.990
0.135216198;-0.0350;0.1355;0.9743;0.984
0.136161563;-0.0340;0.1336;0.9748;0.985
0.136585886;-0.0338;0.1343;0.9711;0.981
0.136996042;-0.0316;0.1387;0.9670;0.977
0.137401563;-0.0287;0.1353;0.9724;0.982
0.137815469;-0.0274;0.1377;0.9633;0.974
0.141030052;-0.0306;0.1402;0.9611;0.972
0.141841979;-0.0331;0.1377;0.9626;0.973
0.142289167;-0.0306;0.1402;0.9570;0.968
0.145769792;-0.0331;0.1355;0.9565;0.967
0.149032761;-0.0326;0.1324;0.9538;0.963
0.151967031;-0.0316;0.1368;0.9602;0.970
0.159483073;-0.0353;0.1343;0.9672;0.977
0.160356615;-0.0365;0.1316;0.9677;0.977
0.160795313;-0.0372;0.1329;0.9699;0.980
0.16122125;-0.0343;0.1385;0.9726;0.983
0.164884896;-0.0360;0.1375;0.9726;0.983
0.165732865;-0.0350;0.1333;0.9748;0.985
0.170321615;-0.0321;0.1351;0.9792;0.989
0.170995052;-0.0321;0.1316;0.9804;0.990
0.171448334;-0.0348;0.1299;0.9856;0.995
0.174799323;-0.0362;0.1285;0.9900;0.999
0.178516146;-0.0350;0.1280;0.9890;0.998
0.18076099;-0.0360;0.1280;0.9917;1.001
0.182182344;-0.0396;0.1277;0.9922;1.001
0.184249479;-0.0377;0.1292;0.9895;0.999
0.191181354;-0.0318;0.1260;0.9944;1.003
0.192034583;-0.0333;0.1255;0.9973;1.006
0.195926823;-0.0335;0.1287;1.0007;1.010
0.196659323;-0.0333;0.1302;0.9985;1.008
0.197065052;-0.0357;0.1277;0.9963;1.005
0.20283849;-0.0379;0.1304;0.9997;1.009
0.204581198;-0.0328;0.1277;1.0015;1.010
0.208520573;-0.0353;0.1302;0.9941;1.003
0.209184531;-0.0394;0.1277;1.0005;1.009
0.211707083;-0.0338;0.1289;0.9968;1.006
0.214527031;-0.0318;0.1307;0.9958;1.005
0.218094063;-0.0331;0.1336;0.9919;1.001
0.218844844;-0.0321;0.1321;0.9929;1.002
0.219260833;-0.0323;0.1336;0.9939;1.003
0.225346771;-0.0340;0.1346;0.9951;1.005
0.227791094;-0.0338;0.1329;0.9887;0.998
0.230314479;-0.0350;0.1348;0.9963;1.006
0.231227656;-0.0401;0.1319;0.9968;1.006
0.235018958;-0.0396;0.1326;0.9907;1.000
0.242130052;-0.0382;0.1321;0.9929;1.002
0.242854167;-0.0367;0.1326;0.9909;1.000
0.243200104;-0.0382;0.1324;0.9905;1.000
