
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.085523;-0.0255;0.0205;0.9952;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.147824;-0.0256;0.0199;0.9952;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.225450;-0.0244;0.0196;0.9962;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.228210;-0.0244;0.0196;0.9962;0.0000;0.0000;0.0000;-5.5500;-3.1875;-64.3313;
0.269728;-0.0244;0.0196;0.9962;0.0000;0.0000;0.0000;-5.5500;-3.1875;-64.3313;
0.276693;-0.0244;0.0196;0.9962;0.0000;0.0000;0.0000;-4.3125;-2.2125;-64.6500;
0.307567;-0.0244;0.0196;0.9962;0.0003;-0.0001;-0.0019;-4.3125;-2.2125;-64.6500;
0.309053;-0.0239;0.0194;0.9959;0.0003;-0.0001;-0.0019;-4.3125;-2.2125;-64.6500;
0.324562;-0.0239;0.0194;0.9959;0.0003;-0.0001;-0.0019;-4.6125;-2.6813;-63.7875;
0.347917;-0.0255;0.0214;0.9961;0.0003;-0.0001;-0.0019;-4.6125;-2.6813;-63.7875;
0.349858;-0.0255;0.0214;0.9961;-0.0002;-0.0001;-0.0001;-4.6125;-2.6813;-63.7875;
0.351204;-0.0255;0.0214;0.9961;-0.0002;-0.0001;-0.0001;-4.6125;-2.6813;-63.7875;
0.352106;-0.0255;0.0214;0.9961;-0.0002;-0.0001;-0.0001;-4.6125;-2.6813;-63.7875;
0.387995;-0.0255;0.0214;0.9961;-0.0002;-0.0001;-0.0001;-4.6125;-2.6813;-63.7875;
0.424926;-0.0255;0.0214;0.9961;-0.0002;-0.0001;0.0001;-4.6125;-2.6813;-63.7875;
0.427190;-0.0241;0.0205;0.9960;-0.0002;-0.0001;0.0001;-4.6125;-2.6813;-63.7875;
0.428647;-0.0241;0.0205;0.9960;-0.0002;-0.0001;0.0001;-3.7313;-2.3438;-64.7625;
0.470325;-0.0241;0.0205;0.9960;-0.0002;-0.0001;0.0001;-3.7313;-2.3438;-64.7625;
0.472643;-0.0241;0.0205;0.9960;-0.0002;-0.0001;0.0001;-3.7313;-2.3438;-64.7625;
0.476463;-0.0241;0.0205;0.9960;-0.0002;-0.0001;0.0001;-4.9500;-2.5875;-64.4062;
0.508021;-0.0241;0.0205;0.9960;-0.0002;-0.0001;0.0001;-4.9500;-2.5875;-64.4062;
0.509825;-0.0241;0.0205;0.9960;-0.0001;-0.0001;-0.0001;-4.9500;-2.5875;-64.4062;
0.511979;-0.0237;0.0205;0.9960;-0.0001;-0.0001;-0.0001;-4.9500;-2.5875;-64.4062;
0.527046;-0.0237;0.0205;0.9960;-0.0001;-0.0001;-0.0001;-5.4563;-3.1500;-64.7625;
0.551092;-0.0250;0.0219;0.9965;-0.0001;-0.0001;-0.0001;-5.4563;-3.1500;-64.7625;
0.553675;-0.0250;0.0219;0.9965;0.0003;-0.0001;0.0003;-5.4563;-3.1500;-64.7625;
0.589128;-0.0250;0.0219;0.9965;0.0003;-0.0001;0.0003;-5.4563;-3.1500;-64.7625;
0.591230;-0.0250;0.0219;0.9965;0.0003;-0.0001;0.0003;-5.4563;-3.1500;-64.7625;
0.625902;-0.0250;0.0219;0.9965;0.0003;-0.0001;0.0003;-5.4563;-3.1500;-64.7625;
0.627773;-0.0250;0.0219;0.9965;0.0000;0.0002;-0.0002;-5.4563;-3.1500;-64.7625;
0.629169;-0.0250;0.0219;0.9965;0.0000;0.0002;-0.0002;-3.3188;-1.5563;-63.8438;
0.630815;-0.0253;0.0213;0.9960;0.0000;0.0002;-0.0002;-3.3188;-1.5563;-63.8438;
0.676145;-0.0253;0.0213;0.9960;0.0000;0.0002;-0.0002;-3.5813;-2.2313;-65.5125;
0.708730;-0.0253;0.0213;0.9960;0.0000;0.0002;-0.0002;-3.5813;-2.2313;-65.5125;
0.710695;-0.0241;0.0214;0.9957;0.0000;0.0002;-0.0002;-3.5813;-2.2313;-65.5125;
0.712939;-0.0241;0.0214;0.9957;0.0008;-0.0005;0.0002;-3.5813;-2.2313;-65.5125;
0.714836;-0.0241;0.0214;0.9957;0.0008;-0.0005;0.0002;-3.5813;-2.2313;-65.5125;
