
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.098689;-0.0266;0.0233;0.9957;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.161443;-0.0338;0.0240;0.9949;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.182417;-0.0338;0.0240;0.9949;0.0000;0.0000;0.0000;-3.6000;-2.1750;-64.7812;
0.221825;-0.0338;0.0240;0.9949;0.0000;0.0000;0.0000;-3.4125;-1.6500;-65.4188;
0.239147;-0.0227;0.0235;0.9962;0.0000;0.0000;0.0000;-3.4125;-1.6500;-65.4188;
0.271439;-0.0227;0.0235;0.9962;0.0000;0.0000;0.0000;-4.4813;-2.0063;-65.2125;
0.278722;-0.0215;0.0238;0.9959;0.0000;0.0000;0.0000;-4.4813;-2.0063;-65.2125;
0.280944;-0.0215;0.0238;0.9959;0.0000;0.0000;0.0000;-4.4813;-2.0063;-65.2125;
0.316618;-0.0215;0.0238;0.9959;0.0001;-0.0009;0.0009;-4.4813;-2.0063;-65.2125;
0.357942;-0.0322;0.0245;0.9956;0.0001;-0.0009;0.0009;-4.4813;-2.0063;-65.2125;
0.360452;-0.0322;0.0245;0.9956;0.0001;-0.0009;0.0009;-4.4813;-2.0063;-65.2125;
0.361777;-0.0322;0.0245;0.9956;0.0001;-0.0009;0.0009;-4.4813;-2.0063;-65.2125;
0.373415;-0.0322;0.0245;0.9956;0.0001;-0.0009;0.0009;-3.4688;-1.3688;-64.1063;
0.398697;-0.0322;0.0245;0.9956;-0.0001;-0.0001;0.0003;-3.4688;-1.3688;-64.1063;
0.400445;-0.0322;0.0245;0.9956;-0.0001;-0.0001;0.0003;-3.4688;-1.3688;-64.1063;
0.423623;-0.0322;0.0245;0.9956;-0.0001;-0.0001;0.0003;-3.3563;-1.5563;-63.7688;
0.440059;-0.0275;0.0242;0.9953;-0.0001;-0.0001;0.0003;-3.3563;-1.5563;-63.7688;
0.442028;-0.0275;0.0242;0.9953;0.0007;-0.0001;0.0002;-3.3563;-1.5563;-63.7688;
0.471632;-0.0275;0.0242;0.9953;0.0007;-0.0001;0.0002;-5.0438;-2.3250;-64.2188;
0.478516;-0.0275;0.0242;0.9953;0.0007;-0.0001;0.0002;-5.0438;-2.3250;-64.2188;
0.480134;-0.0223;0.0237;0.9959;0.0007;-0.0001;0.0002;-5.0438;-2.3250;-64.2188;
0.480873;-0.0223;0.0237;0.9959;0.0007;-0.0001;0.0002;-5.0438;-2.3250;-64.2188;
0.516532;-0.0223;0.0237;0.9959;0.0007;-0.0001;0.0002;-5.0438;-2.3250;-64.2188;
0.518849;-0.0223;0.0237;0.9959;0.0005;0.0001;0.0000;-5.0438;-2.3250;-64.2188;
0.558865;-0.0274;0.0237;0.9951;0.0005;0.0001;0.0000;-5.0438;-2.3250;-64.2188;
0.579118;-0.0274;0.0237;0.9951;0.0005;0.0001;0.0000;-2.9438;-1.9313;-65.1000;
0.598073;-0.0274;0.0237;0.9951;0.0013;-0.0001;-0.0002;-2.9438;-1.9313;-65.1000;
0.599871;-0.0274;0.0237;0.9951;0.0013;-0.0001;-0.0002;-2.9438;-1.9313;-65.1000;
0.601495;-0.0274;0.0237;0.9951;0.0013;-0.0001;-0.0002;-2.9438;-1.9313;-65.1000;
0.621505;-0.0274;0.0237;0.9951;0.0013;-0.0001;-0.0002;-2.1375;-1.2938;-64.5938;
0.638996;-0.0274;0.0237;0.9951;0.0013;-0.0001;-0.0002;-2.1375;-1.2938;-64.5938;
0.640025;-0.0274;0.0237;0.9951;-0.0001;-0.0005;-0.0002;-2.1375;-1.2938;-64.5938;
0.640718;-0.0291;0.0248;0.9951;-0.0001;-0.0005;-0.0002;-2.1375;-1.2938;-64.5938;
0.671728;-0.0291;0.0248;0.9951;-0.0001;-0.0005;-0.0002;-3.4875;-1.5750;-63.7875;
0.678519;-0.0260;0.0239;0.9950;-0.0001;-0.0005;-0.0002;-3.4875;-1.5750;-63.7875;
0.716861;-0.0260;0.0239;0.9950;0.0005;0.0001;-0.0002;-3.4875;-1.5750;-63.7875;
0.718601;-0.0260;0.0239;0.9950;0.0005;0.0001;-0.0002;-3.4875;-1.5750;-63.7875;
0.719386;-0.0260;0.0239;0.9950;0.0005;0.0001;-0.0002;-3.4875;-1.5750;-63.7875;
0.758477;-0.0245;0.0234;0.9947;0.0005;0.0001;-0.0002;-3.4875;-1.5750;-63.7875;
0.759726;-0.0245;0.0234;0.9947;0.0005;0.0001;-0.0002;-3.4875;-1.5750;-63.7875;
0.772494;-0.0245;0.0234;0.9947;0.0005;0.0001;-0.0002;-5.2500;-2.7000;-63.9750;
0.798739;-0.0245;0.0234;0.9947;0.0003;-0.0001;-0.0002;-5.2500;-2.7000;-63.9750;
0.822308;-0.0245;0.0234;0.9947;0.0003;-0.0001;-0.0002;-4.3500;-2.2875;-63.7688;
0.842004;-0.0245;0.0234;0.9947;-0.0001;0.0003;0.0003;-4.3500;-2.2875;-63.7688;
0.844187;-0.0271;0.0238;0.9955;-0.0001;0.0003;0.0003;-4.3500;-2.2875;-63.7688;
0.845901;-0.0271;0.0238;0.9955;-0.0001;0.0003;0.0003;-4.3500;-2.2875;-63.7688;
0.847358;-0.0271;0.0238;0.9955;-0.0001;0.0003;0.0003;-4.3500;-2.2875;-63.7688;
0.872661;-0.0271;0.0238;0.9955;-0.0001;0.0003;0.0003;-3.3563;-0.6188;-64.1438;
0.878555;-0.0271;0.0238;0.9955;-0.0001;0.0003;0.0003;-3.3563;-0.6188;-64.1438;
0.879948;-0.0251;0.0237;0.9952;-0.0001;0.0003;0.0003;-3.3563;-0.6188;-64.1438;
0.920850;-0.0251;0.0237;0.9952;-0.0002;-0.0002;0.0003;-3.3563;-0.6188;-64.1438;
0.955068;-0.0238;0.0240;0.9954;-0.0002;-0.0002;0.0003;-3.3563;-0.6188;-64.1438;
0.956881;-0.0238;0.0240;0.9954;-0.0002;-0.0002;0.0003;-3.3563;-0.6188;-64.1438;
0.958205;-0.0238;0.0240;0.9954;-0.0002;-0.0002;0.0003;-3.3563;-0.6188;-64.1438;
0.971438;-0.0238;0.0240;0.9954;-0.0002;-0.0002;0.0003;-4.6313;-1.6500;-63.3938;
1.017300;-0.0259;0.0246;0.9949;-0.0002;-0.0002;0.0003;-4.6313;-1.6500;-63.3938;
1.020593;-0.0259;0.0246;0.9949;-0.0007;-0.0007;0.0003;-4.6313;-1.6500;-63.3938;
1.022807;-0.0259;0.0246;0.9949;-0.0007;-0.0007;0.0003;-4.6313;-1.6500;-63.3938;
1.024043;-0.0259;0.0246;0.9949;-0.0007;-0.0007;0.0003;-3.7125;-2.9625;-63.6938;
1.059735;-0.0259;0.0246;0.9949;-0.0007;-0.0007;0.0003;-3.7125;-2.9625;-63.6938;
1.061336;-0.0259;0.0246;0.9949;-0.0011;-0.0007;0.0009;-3.7125;-2.9625;-63.6938;
1.062192;-0.0259;0.0246;0.9949;-0.0011;-0.0007;0.0009;-3.7125;-2.9625;-63.6938;
1.072037;-0.0259;0.0246;0.9949;-0.0011;-0.0007;0.0009;-3.7313;-2.5875;-61.3688;
1.099720;-0.0295;0.0236;0.9958;-0.0011;-0.0007;0.0009;-3.7313;-2.5875;-61.3688;
1.140403;-0.0252;0.0241;0.9956;-0.0011;-0.0007;0.0009;-3.7313;-2.5875;-61.3688;
1.142733;-0.0252;0.0241;0.9956;0.0000;0.0003;0.0001;-3.7313;-2.5875;-61.3688;
1.143811;-0.0252;0.0241;0.9956;0.0000;0.0003;0.0001;-3.7313;-2.5875;-61.3688;
1.172335;-0.0252;0.0241;0.9956;0.0000;0.0003;0.0001;-4.7438;-1.9500;-64.1063;
1.180266;-0.0252;0.0241;0.9956;0.0000;0.0003;0.0001;-4.7438;-1.9500;-64.1063;
1.182057;-0.0252;0.0241;0.9956;0.0000;0.0003;0.0001;-4.7438;-1.9500;-64.1063;
1.222154;-0.0252;0.0241;0.9956;-0.0002;-0.0006;-0.0007;-4.7438;-1.9500;-64.1063;
1.224353;-0.0241;0.0234;0.9951;-0.0002;-0.0006;-0.0007;-4.7438;-1.9500;-64.1063;
1.225896;-0.0241;0.0234;0.9951;-0.0002;-0.0006;-0.0007;-3.8250;-2.0438;-62.8500;
1.260185;-0.0241;0.0234;0.9951;-0.0002;-0.0006;-0.0007;-3.8250;-2.0438;-62.8500;
1.261979;-0.0241;0.0234;0.9951;-0.0007;-0.0002;0.0001;-3.8250;-2.0438;-62.8500;
1.272081;-0.0241;0.0234;0.9951;-0.0007;-0.0002;0.0001;-1.5375;0.1313;-63.6000;
1.304677;-0.0286;0.0242;0.9945;-0.0007;-0.0002;0.0001;-1.5375;0.1313;-63.6000;
1.306756;-0.0286;0.0242;0.9945;-0.0007;-0.0002;0.0001;-1.5375;0.1313;-63.6000;
1.308090;-0.0286;0.0242;0.9945;-0.0007;-0.0002;0.0001;-1.5375;0.1313;-63.6000;
1.340040;-0.0286;0.0242;0.9945;-0.0003;-0.0004;0.0001;-1.5375;0.1313;-63.6000;
1.341688;-0.0285;0.0236;0.9947;-0.0003;-0.0004;0.0001;-1.5375;0.1313;-63.6000;
1.371831;-0.0285;0.0236;0.9947;-0.0003;-0.0004;0.0001;-4.0125;-1.8563;-64.7625;
1.380888;-0.0285;0.0236;0.9947;-0.0003;-0.0004;0.0001;-4.0125;-1.8563;-64.7625;
1.422372;-0.0285;0.0236;0.9947;-0.0007;-0.0006;-0.0007;-4.0125;-1.8563;-64.7625;
1.424159;-0.0241;0.0235;0.9954;-0.0007;-0.0006;-0.0007;-4.0125;-1.8563;-64.7625;
1.425212;-0.0241;0.0235;0.9954;-0.0007;-0.0006;-0.0007;-4.7250;-2.1938;-63.6188;
1.426246;-0.0241;0.0235;0.9954;-0.0007;-0.0006;-0.0007;-4.7250;-2.1938;-63.6188;
1.427767;-0.0241;0.0235;0.9954;-0.0007;-0.0006;-0.0007;-4.7250;-2.1938;-63.6188;
1.459870;-0.0241;0.0235;0.9954;-0.0001;-0.0001;0.0001;-4.7250;-2.1938;-63.6188;
1.471543;-0.0241;0.0235;0.9954;-0.0001;-0.0001;0.0001;-2.9625;-3.3938;-64.5938;
1.504446;-0.0275;0.0236;0.9950;-0.0001;-0.0001;0.0001;-2.9625;-3.3938;-64.5938;
1.506917;-0.0275;0.0236;0.9950;-0.0001;-0.0001;0.0001;-2.9625;-3.3938;-64.5938;
1.540015;-0.0275;0.0236;0.9950;-0.0001;-0.0001;0.0001;-2.9625;-3.3938;-64.5938;
1.541330;-0.0274;0.0238;0.9952;-0.0001;-0.0001;0.0001;-2.9625;-3.3938;-64.5938;
1.542092;-0.0274;0.0238;0.9952;-0.0001;-0.0003;0.0003;-2.9625;-3.3938;-64.5938;
1.542823;-0.0274;0.0238;0.9952;-0.0001;-0.0003;0.0003;-2.9625;-3.3938;-64.5938;
1.572026;-0.0274;0.0238;0.9952;-0.0001;-0.0003;0.0003;-4.7438;-3.2438;-63.9000;
1.620266;-0.0274;0.0238;0.9952;-0.0007;-0.0006;0.0003;-4.7438;-3.2438;-63.9000;
1.621877;-0.0258;0.0242;0.9951;-0.0007;-0.0006;0.0003;-4.7438;-3.2438;-63.9000;
1.622827;-0.0258;0.0242;0.9951;-0.0007;-0.0006;0.0003;-4.7438;-3.2438;-63.9000;
1.629686;-0.0258;0.0242;0.9951;-0.0007;-0.0006;0.0003;-3.0563;-3.3750;-64.9500;
1.660074;-0.0258;0.0242;0.9951;-0.0007;-0.0006;0.0003;-3.0563;-3.3750;-64.9500;
1.661676;-0.0258;0.0242;0.9951;-0.0006;-0.0002;-0.0004;-3.0563;-3.3750;-64.9500;
1.662620;-0.0258;0.0242;0.9951;-0.0006;-0.0002;-0.0004;-3.0563;-3.3750;-64.9500;
1.671429;-0.0258;0.0242;0.9951;-0.0006;-0.0002;-0.0004;-3.3375;-1.5375;-63.9563;
1.701447;-0.0248;0.0232;0.9941;-0.0006;-0.0002;-0.0004;-3.3375;-1.5375;-63.9563;
1.741485;-0.0248;0.0232;0.9941;-0.0006;-0.0002;-0.0004;-3.3375;-1.5375;-63.9563;
1.743139;-0.0248;0.0232;0.9941;0.0002;0.0003;0.0003;-3.3375;-1.5375;-63.9563;
1.744060;-0.0269;0.0233;0.9954;0.0002;0.0003;0.0003;-3.3375;-1.5375;-63.9563;
1.772031;-0.0269;0.0233;0.9954;0.0002;0.0003;0.0003;-4.5188;-1.7813;-63.9000;
1.784970;-0.0269;0.0233;0.9954;0.0002;0.0003;0.0003;-4.5188;-1.7813;-63.9000;
1.786608;-0.0269;0.0233;0.9954;0.0002;0.0003;0.0003;-4.5188;-1.7813;-63.9000;
1.818785;-0.0269;0.0233;0.9954;0.0003;-0.0001;-0.0002;-4.5188;-1.7813;-63.9000;
1.820402;-0.0276;0.0234;0.9941;0.0003;-0.0001;-0.0002;-4.5188;-1.7813;-63.9000;
1.821737;-0.0276;0.0234;0.9941;0.0003;-0.0001;-0.0002;-4.2750;-2.3813;-63.7875;
1.861881;-0.0276;0.0234;0.9941;0.0003;-0.0001;-0.0002;-4.2750;-2.3813;-63.7875;
1.864156;-0.0276;0.0234;0.9941;0.0005;-0.0004;-0.0007;-4.2750;-2.3813;-63.7875;
1.871562;-0.0276;0.0234;0.9941;0.0005;-0.0004;-0.0007;-4.0312;-2.0063;-64.7812;
1.901404;-0.0276;0.0234;0.9941;0.0005;-0.0004;-0.0007;-4.0312;-2.0063;-64.7812;
