
time;gFx;gFy;gFz;wx;wy;wz;
0.004;-0,03;0,15;1,00;-0,10;-0,06;0,01;
0.005;-0,03;0,15;1,00;-0,10;-0,06;0,01;
0.005;-0,04;0,15;1,00;-0,10;-0,06;0,01;
0.006;-0,04;0,15;1,00;-0,10;-0,06;0,01;
0.006;-0,04;0,15;1,00;-0,09;-0,06;0,02;
0.006;-0,06;0,16;1,00;-0,09;-0,06;0,02;
0.007;-0,06;0,16;1,00;-0,09;-0,06;0,03;
0.007;-0,06;0,16;1,01;-0,09;-0,06;0,03;
0.007;-0,06;0,16;1,01;-0,08;-0,06;0,03;
0.008;-0,06;0,17;1,02;-0,08;-0,06;0,03;
0.008;-0,07;0,18;1,02;-0,08;-0,06;0,03;
0.008;-0,07;0,18;1,02;-0,07;-0,05;0,04;
0.008;-0,07;0,17;1,01;-0,07;-0,05;0,04;
0.009;-0,07;0,17;1,01;-0,06;-0,04;0,05;
0.009;-0,07;0,17;1,01;-0,05;-0,04;0,05;
0.009;-0,06;0,17;1,01;-0,05;-0,04;0,05;
0.01;-0,06;0,17;1,01;-0,05;-0,05;0,06;
0.01;-0,06;0,17;1,01;-0,05;-0,05;0,06;
0.01;-0,06;0,16;1,01;-0,05;-0,05;0,06;
0.011;-0,06;0,16;1,01;-0,05;-0,05;0,07;
0.016;-0,06;0,16;1,01;-0,04;-0,06;0,08;
0.016;-0,06;0,17;1,01;-0,04;-0,06;0,08;
0.018;-0,06;0,17;1,01;-0,04;-0,06;0,08;
0.018;-0,06;0,17;1,01;-0,03;-0,06;0,08;
0.018;-0,06;0,17;1,01;-0,02;-0,06;0,09;
0.018;-0,06;0,16;1,01;-0,02;-0,06;0,09;
0.022;-0,06;0,16;1,00;-0,02;-0,06;0,09;
0.023;-0,06;0,16;1,00;-0,02;-0,06;0,09;
0.026;-0,06;0,16;1,00;-0,02;-0,06;0,09;
0.027;-0,06;0,15;1,00;-0,02;-0,06;0,09;
0.027;-0,06;0,15;1,00;-0,01;-0,06;0,10;
0.027;-0,06;0,15;1,00;-0,01;-0,06;0,10;
0.028;-0,06;0,15;1,00;-0,01;-0,06;0,10;
0.028;-0,05;0,15;0,99;-0,01;-0,06;0,10;
0.04;-0,05;0,15;0,99;-0,01;-0,06;0,10;
0.041;-0,05;0,15;1,00;-0,01;-0,06;0,10;
0.041;-0,05;0,16;0,99;-0,01;-0,06;0,10;
0.041;-0,05;0,16;0,99;-0,01;-0,06;0,10;
0.041;-0,05;0,16;0,99;-0,01;-0,07;0,09;
0.042;-0,04;0,16;0,99;-0,01;-0,07;0,09;
0.042;-0,04;0,16;0,99;-0,01;-0,08;0,09;
0.042;-0,03;0,16;0,98;-0,01;-0,08;0,09;
0.042;-0,03;0,16;0,98;-0,01;-0,09;0,09;
0.042;-0,03;0,16;0,98;-0,01;-0,09;0,09;
0.057;-0,03;0,16;0,98;-0,00;-0,09;0,08;
