
time;gFx;gFy;gFz;wx;wy;wz;
0.004;-0,08;0,15;1,02;-0,07;-0,41;0,12;
0.005;-0,08;0,15;1,02;-0,07;-0,42;0,11;
0.005;-0,08;0,15;1,02;-0,08;-0,42;0,10;
0.006;-0,09;0,16;1,03;-0,08;-0,42;0,10;
0.006;-0,09;0,16;1,03;-0,08;-0,41;0,10;
0.007;-0,08;0,15;1,03;-0,08;-0,41;0,10;
0.007;-0,08;0,15;1,03;-0,09;-0,39;0,09;
0.008;-0,08;0,15;1,03;-0,09;-0,38;0,09;
0.008;-0,08;0,16;1,03;-0,09;-0,38;0,09;
0.009;-0,08;0,16;1,03;-0,09;-0,38;0,09;
0.009;-0,08;0,16;1,03;-0,10;-0,36;0,09;
0.009;-0,08;0,16;1,03;-0,10;-0,36;0,09;
0.01;-0,07;0,15;1,02;-0,10;-0,36;0,09;
0.01;-0,07;0,15;1,02;-0,11;-0,34;0,09;
0.011;-0,07;0,15;1,02;-0,11;-0,33;0,09;
0.011;-0,07;0,15;1,02;-0,11;-0,33;0,09;
0.011;-0,06;0,15;1,02;-0,11;-0,33;0,09;
0.012;-0,06;0,15;1,02;-0,12;-0,31;0,09;
0.012;-0,06;0,15;1,02;-0,13;-0,30;0,08;
0.012;-0,06;0,14;1,02;-0,13;-0,30;0,08;
0.016;-0,06;0,14;1,02;-0,13;-0,27;0,08;
0.017;-0,05;0,14;1,03;-0,13;-0,27;0,08;
0.017;-0,05;0,14;1,03;-0,13;-0,27;0,08;
0.017;-0,05;0,14;1,03;-0,14;-0,24;0,08;
0.017;-0,05;0,14;1,03;-0,14;-0,22;0,07;
0.017;-0,04;0,13;1,03;-0,14;-0,22;0,07;
0.02;-0,04;0,13;1,03;-0,13;-0,20;0,07;
0.02;-0,04;0,13;1,02;-0,13;-0,20;0,07;
0.035;-0,02;0,13;1,03;-0,13;-0,20;0,07;
0.035;-0,02;0,13;1,03;-0,13;-0,19;0,07;
0.036;-0,02;0,13;1,03;-0,12;-0,17;0,07;
0.036;-0,02;0,14;1,04;-0,12;-0,17;0,07;
