
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.121790;-0.0832;0.4641;0.8556;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.163668;-0.0712;0.4533;0.9034;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.181989;-0.0712;0.4533;0.9034;0.0000;0.0000;0.0000;-15.7313;-24.3750;-34.7063;
0.231596;-0.0712;0.4533;0.9034;0.0000;0.0000;0.0000;-15.8063;-24.2250;-33.6000;
0.239887;-0.0398;0.4524;0.8624;0.0000;0.0000;0.0000;-15.8063;-24.2250;-33.6000;
0.241705;-0.0398;0.4524;0.8624;-0.2850;-0.1685;-0.1242;-15.8063;-24.2250;-33.6000;
0.278285;-0.0398;0.4524;0.8624;-0.2850;-0.1685;-0.1242;-15.8063;-24.2250;-33.6000;
0.279446;-0.0398;0.4524;0.8624;-0.2850;-0.1685;-0.1242;-15.8063;-24.2250;-33.6000;
0.281847;-0.0398;0.4524;0.8624;-0.2850;-0.1685;-0.1242;-15.8438;-24.1125;-33.3938;
0.320890;-0.0398;0.4524;0.8624;-0.2850;-0.1685;-0.1242;-15.8438;-24.1125;-33.3938;
0.322019;-0.0834;0.4406;0.8966;-0.2850;-0.1685;-0.1242;-15.8438;-24.1125;-33.3938;
0.323042;-0.0834;0.4406;0.8966;-0.3630;-0.0438;-0.2353;-15.8438;-24.1125;-33.3938;
0.361561;-0.0946;0.4048;0.9157;-0.3630;-0.0438;-0.2353;-15.8438;-24.1125;-33.3938;
0.381449;-0.0946;0.4048;0.9157;-0.3630;-0.0438;-0.2353;-16.5563;-22.7063;-34.6688;
0.400413;-0.0946;0.4048;0.9157;-0.3630;-0.0438;-0.2353;-16.5563;-22.7063;-34.6688;
0.401656;-0.0946;0.4048;0.9157;-0.1925;-0.0344;-0.0700;-16.5563;-22.7063;-34.6688;
0.402968;-0.0946;0.4048;0.9157;-0.1925;-0.0344;-0.0700;-16.5563;-22.7063;-34.6688;
0.431333;-0.0946;0.4048;0.9157;-0.1925;-0.0344;-0.0700;-15.5438;-23.5125;-34.4625;
0.441270;-0.0946;0.4048;0.9157;-0.1925;-0.0344;-0.0700;-15.5438;-23.5125;-34.4625;
0.443443;-0.0949;0.4148;0.9043;-0.1925;-0.0344;-0.0700;-15.5438;-23.5125;-34.4625;
0.445489;-0.0949;0.4148;0.9043;-0.0868;-0.2531;-0.0698;-15.5438;-23.5125;-34.4625;
