
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.080986;0.0240;0.2733;0.9208;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.137950;0.0018;0.2615;0.8730;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.139667;0.0018;0.2615;0.8730;0.0000;0.0000;0.0000;13.3500;-0.6188;-44.7375;
0.188222;0.0018;0.2615;0.8730;0.0000;0.0000;0.0000;13.0125;-1.3500;-45.2438;
0.220419;0.0029;0.2478;1.0199;0.0000;0.0000;0.0000;13.0125;-1.3500;-45.2438;
0.238503;0.0029;0.2478;1.0199;0.0000;0.0000;0.0000;14.3438;-0.9000;-43.8938;
0.262214;0.0029;0.2478;1.0199;0.0000;0.0000;0.0000;14.3438;-0.9000;-43.8938;
0.300658;0.0273;0.2857;0.8002;0.0000;0.0000;0.0000;14.3438;-0.9000;-43.8938;
0.302756;0.0273;0.2857;0.8002;0.3487;0.2158;-0.0703;14.3438;-0.9000;-43.8938;
0.338240;0.0273;0.2857;0.8002;0.3487;0.2158;-0.0703;13.3500;-1.9313;-43.3688;
0.339849;-0.1611;0.3116;0.8978;0.3487;0.2158;-0.0703;13.3500;-1.9313;-43.3688;
0.340848;-0.1611;0.3116;0.8978;0.3487;0.2158;-0.0703;13.3500;-1.9313;-43.3688;
0.341510;-0.1611;0.3116;0.8978;0.3487;0.2158;-0.0703;13.3500;-1.9313;-43.3688;
0.342141;-0.1611;0.3116;0.8978;-0.3018;0.5567;-0.0374;13.3500;-1.9313;-43.3688;
0.380418;-0.1611;0.3116;0.8978;-0.3018;0.5567;-0.0374;13.3500;-1.9313;-43.3688;
0.388185;-0.1611;0.3116;0.8978;-0.3018;0.5567;-0.0374;14.4375;-0.9750;-45.0938;
0.420796;-0.1611;0.3116;0.8978;-0.0551;-0.0186;0.3282;14.4375;-0.9750;-45.0938;
0.422700;-0.0780;0.3271;0.9616;-0.0551;-0.0186;0.3282;14.4375;-0.9750;-45.0938;
0.438245;-0.0780;0.3271;0.9616;-0.0551;-0.0186;0.3282;14.8875;-2.6250;-42.7688;
0.460875;-0.0780;0.3271;0.9616;-0.0551;-0.0186;0.3282;14.8875;-2.6250;-42.7688;
0.462549;-0.0780;0.3271;0.9616;-0.0551;-0.0186;0.3282;14.8875;-2.6250;-42.7688;
0.501036;-0.0780;0.3271;0.9616;-0.0551;-0.0186;0.3282;14.8875;-2.6250;-42.7688;
0.502540;-0.0780;0.3271;0.9616;-0.1333;0.0738;0.2530;14.8875;-2.6250;-42.7688;
0.503860;-0.0475;0.3736;0.8910;-0.1333;0.0738;0.2530;14.8875;-2.6250;-42.7688;
0.538502;-0.0475;0.3736;0.8910;-0.1333;0.0738;0.2530;15.6188;-2.6625;-43.0875;
0.540220;-0.0475;0.3736;0.8910;-0.3578;-0.0051;0.2263;15.6188;-2.6625;-43.0875;
0.541217;-0.0374;0.3919;1.0290;-0.3578;-0.0051;0.2263;15.6188;-2.6625;-43.0875;
0.581599;-0.0374;0.3919;1.0290;-0.3578;-0.0051;0.2263;15.6188;-2.6625;-43.0875;
0.583402;-0.0374;0.3919;1.0290;-0.3578;-0.0051;0.2263;15.6188;-2.6625;-43.0875;
0.588551;-0.0374;0.3919;1.0290;-0.3578;-0.0051;0.2263;15.5625;-2.3813;-43.4250;
