
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.136429;-0.0227;0.2113;0.9046;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.140226;-0.0227;0.2113;0.9046;0.0000;0.0000;0.0000;-0.5438;20.9813;-49.2375;
0.172261;-0.1049;0.1798;0.9213;0.0000;0.0000;0.0000;-0.5438;20.9813;-49.2375;
0.191565;-0.1049;0.1798;0.9213;0.0000;0.0000;0.0000;-1.7813;20.9438;-49.4438;
0.215705;-0.0255;0.3049;0.8814;0.0000;0.0000;0.0000;-1.7813;20.9438;-49.4438;
0.253460;-0.0255;0.3049;0.8814;0.0000;0.0000;0.0000;-1.7813;20.9438;-49.4438;
0.290970;-0.0255;0.3049;0.8814;0.0000;0.0000;0.0000;-1.7625;22.3125;-51.1688;
0.292868;-0.0091;0.3002;1.0228;0.0000;0.0000;0.0000;-1.7625;22.3125;-51.1688;
0.294182;-0.0091;0.3002;1.0228;0.1693;-0.2760;-0.1439;-1.7625;22.3125;-51.1688;
0.333263;-0.0091;0.3002;1.0228;0.1693;-0.2760;-0.1439;-1.7625;22.3125;-51.1688;
0.334790;-0.0091;0.3002;1.0228;0.1693;-0.2760;-0.1439;-1.7625;22.3125;-51.1688;
0.339829;-0.0091;0.3002;1.0228;0.1693;-0.2760;-0.1439;-3.4125;21.0188;-51.6375;
0.373416;-0.0091;0.3002;1.0228;0.1693;-0.2760;-0.1439;-3.4125;21.0188;-51.6375;
0.374721;0.0189;0.2939;1.0202;0.1693;-0.2760;-0.1439;-3.4125;21.0188;-51.6375;
0.376202;0.0189;0.2939;1.0202;0.6120;-0.3429;0.1108;-3.4125;21.0188;-51.6375;
0.390638;0.0189;0.2939;1.0202;0.6120;-0.3429;0.1108;-3.5250;19.9125;-52.4813;
0.414331;0.0189;0.2939;1.0202;-0.1208;-0.1318;-0.1690;-3.5250;19.9125;-52.4813;
0.417024;0.1164;0.3032;1.0134;-0.1208;-0.1318;-0.1690;-3.5250;19.9125;-52.4813;
0.453256;0.1164;0.3032;1.0134;-0.1208;-0.1318;-0.1690;-3.5250;19.9125;-52.4813;
0.454481;0.1164;0.3032;1.0134;-0.1208;-0.1318;-0.1690;-3.5250;19.9125;-52.4813;
0.491213;0.1164;0.3032;1.0134;-0.1208;-0.1318;-0.1690;-4.4250;19.6688;-53.3063;
0.494804;0.1164;0.3032;1.0134;-0.1208;-0.1318;-0.1690;-4.4250;19.6688;-53.3063;
0.497158;0.1234;0.1463;1.1324;-0.1208;-0.1318;-0.1690;-4.4250;19.6688;-53.3063;
0.499170;0.1234;0.1463;1.1324;-0.3256;0.0495;-0.2133;-4.4250;19.6688;-53.3063;
0.549753;0.1234;0.1463;1.1324;-0.3256;0.0495;-0.2133;-5.4750;21.1313;-53.6063;
0.570697;0.2555;0.0455;1.1965;-0.3256;0.0495;-0.2133;-5.4750;21.1313;-53.6063;
0.571427;0.2555;0.0455;1.1965;0.1026;-0.2741;-0.5517;-5.4750;21.1313;-53.6063;
0.571825;0.2555;0.0455;1.1965;0.1026;-0.2741;-0.5517;-5.4750;21.1313;-53.6063;
0.572069;0.2555;0.0455;1.1965;0.1026;-0.2741;-0.5517;-5.4750;21.1313;-53.6063;
0.591020;0.2555;0.0455;1.1965;0.1026;-0.2741;-0.5517;-7.3125;22.2000;-54.2625;
0.614541;0.1663;0.0121;0.9423;0.1026;-0.2741;-0.5517;-7.3125;22.2000;-54.2625;
0.618481;0.1663;0.0121;0.9423;-0.1242;-0.0720;-1.0112;-7.3125;22.2000;-54.2625;
0.620589;0.1663;0.0121;0.9423;-0.1242;-0.0720;-1.0112;-7.3125;22.2000;-54.2625;
0.692287;0.1663;0.0121;0.9423;-0.1242;-0.0720;-1.0112;-12.3375;20.7000;-53.8688;
0.699535;0.1663;0.0121;0.9423;0.0469;-1.4500;-1.2273;-12.3375;20.7000;-53.8688;
0.701358;0.1663;0.0121;0.9423;0.0469;-1.4500;-1.2273;-12.3375;20.7000;-53.8688;
0.702256;0.1663;0.0121;0.9423;0.0469;-1.4500;-1.2273;-12.3375;20.7000;-53.8688;
0.703122;0.1176;0.1259;0.8551;0.0469;-1.4500;-1.2273;-12.3375;20.7000;-53.8688;
0.733690;0.1176;0.1259;0.8551;0.0469;-1.4500;-1.2273;-12.3375;20.7000;-53.8688;
0.740565;0.1176;0.1259;0.8551;0.0469;-1.4500;-1.2273;-17.9062;19.4062;-53.6063;
0.774705;0.1176;0.1259;0.8551;-0.0551;-0.9613;-1.3263;-17.9062;19.4062;-53.6063;
0.777511;-0.0146;0.1634;0.7956;-0.0551;-0.9613;-1.3263;-17.9062;19.4062;-53.6063;
0.790786;-0.0146;0.1634;0.7956;-0.0551;-0.9613;-1.3263;-21.7500;16.8375;-52.0688;
