
time;gFx;gFy;gFz;wx;wy;wz;Bx;By;Bz;
0.076760;-0.0248;0.2619;0.9486;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.133576;0.0032;0.2298;0.9766;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
0.139568;0.0032;0.2298;0.9766;0.0000;0.0000;0.0000;10.1438;-13.2750;-35.3813;
0.188669;0.0032;0.2298;0.9766;0.0000;0.0000;0.0000;8.7188;-12.6000;-34.2188;
0.215271;-0.0394;0.1625;1.1855;0.0000;0.0000;0.0000;8.7188;-12.6000;-34.2188;
0.238951;-0.0394;0.1625;1.1855;0.0000;0.0000;0.0000;9.4125;-12.8438;-33.9563;
0.256235;-0.0394;0.1625;1.1855;1.5556;-0.0981;0.2595;9.4125;-12.8438;-33.9563;
0.258096;-0.0516;0.2912;0.7606;1.5556;-0.0981;0.2595;9.4125;-12.8438;-33.9563;
0.259423;-0.0516;0.2912;0.7606;1.5556;-0.0981;0.2595;9.4125;-12.8438;-33.9563;
0.334221;-0.0516;0.2912;0.7606;1.5556;-0.0981;0.2595;9.4125;-12.8438;-33.9563;
0.336363;-0.0170;0.3123;1.0183;1.5556;-0.0981;0.2595;9.4125;-12.8438;-33.9563;
0.338887;-0.0170;0.3123;1.0183;-0.1695;-0.1052;0.1863;9.4125;-12.8438;-33.9563;
0.341433;-0.0170;0.3123;1.0183;-0.1695;-0.1052;0.1863;9.4125;-12.8438;-33.9563;
0.343281;-0.0170;0.3123;1.0183;-0.1695;-0.1052;0.1863;8.9625;-16.0688;-31.9500;
0.377549;-0.0170;0.3123;1.0183;-0.1695;-0.1052;0.1863;8.9625;-16.0688;-31.9500;
0.389650;-0.0170;0.3123;1.0183;-0.1695;-0.1052;0.1863;8.1375;-15.2625;-33.6188;
0.413335;-0.0119;0.3297;0.9330;-0.1695;-0.1052;0.1863;8.1375;-15.2625;-33.6188;
0.414885;-0.0119;0.3297;0.9330;0.2867;-0.0173;-0.2467;8.1375;-15.2625;-33.6188;
0.439632;-0.0119;0.3297;0.9330;0.2867;-0.0173;-0.2467;8.1750;-17.3063;-34.1250;
0.456834;0.0471;0.3160;0.9450;0.2867;-0.0173;-0.2467;8.1750;-17.3063;-34.1250;
0.458457;0.0471;0.3160;0.9450;0.1101;0.1486;-0.2149;8.1750;-17.3063;-34.1250;
0.459427;0.0471;0.3160;0.9450;0.1101;0.1486;-0.2149;8.1750;-17.3063;-34.1250;
0.460124;0.0471;0.3160;0.9450;0.1101;0.1486;-0.2149;8.1750;-17.3063;-34.1250;
0.495882;0.0471;0.3160;0.9450;0.1101;0.1486;-0.2149;8.1750;-17.3063;-34.1250;
0.532316;0.0471;0.3160;0.9450;0.0873;0.0436;-0.6799;8.1750;-17.3063;-34.1250;
0.533352;-0.1016;0.4043;0.8924;0.0873;0.0436;-0.6799;8.1750;-17.3063;-34.1250;
0.537223;-0.1016;0.4043;0.8924;0.0873;0.0436;-0.6799;7.7250;-16.2938;-34.1813;
0.576873;-0.1016;0.4043;0.8924;0.0873;0.0436;-0.6799;7.7250;-16.2938;-34.1813;
0.577960;-0.1016;0.4043;0.8924;0.0873;0.0436;-0.6799;7.7250;-16.2938;-34.1813;
0.589599;-0.1016;0.4043;0.8924;0.0873;0.0436;-0.6799;10.2938;-17.1188;-32.6438;
0.616183;-0.0519;0.4355;0.9305;0.0873;0.0436;-0.6799;10.2938;-17.1188;-32.6438;
0.619456;-0.0519;0.4355;0.9305;0.2035;0.4782;0.2965;10.2938;-17.1188;-32.6438;
0.622113;-0.0519;0.4355;0.9305;0.2035;0.4782;0.2965;10.2938;-17.1188;-32.6438;
0.640243;-0.0519;0.4355;0.9305;0.2035;0.4782;0.2965;10.9688;-18.5813;-33.3188;
0.659147;-0.0519;0.4355;0.9305;0.4071;-0.4919;-0.2048;10.9688;-18.5813;-33.3188;
0.661778;0.0488;0.4877;0.9136;0.4071;-0.4919;-0.2048;10.9688;-18.5813;-33.3188;
0.699276;0.0488;0.4877;0.9136;0.4071;-0.4919;-0.2048;10.9688;-18.5813;-33.3188;
0.700910;0.0488;0.4877;0.9136;0.4071;-0.4919;-0.2048;10.9688;-18.5813;-33.3188;
0.733461;0.0488;0.4877;0.9136;0.4660;-0.3979;-0.2456;10.9688;-18.5813;-33.3188;
0.735013;0.0488;0.4877;0.9136;0.4660;-0.3979;-0.2456;10.9688;-18.5813;-33.3188;
0.735688;0.0669;0.5974;0.8539;0.4660;-0.3979;-0.2456;10.9688;-18.5813;-33.3188;
0.738378;0.0669;0.5974;0.8539;0.4660;-0.3979;-0.2456;10.5188;-18.8250;-33.3938;
0.788171;0.0669;0.5974;0.8539;0.4660;-0.3979;-0.2456;11.6063;-20.2313;-33.3938;
0.814379;0.0669;0.5974;0.8539;0.2425;0.0097;-0.0793;11.6063;-20.2313;-33.3938;
0.815591;0.0869;0.5949;0.9155;0.2425;0.0097;-0.0793;11.6063;-20.2313;-33.3938;
0.816619;0.0869;0.5949;0.9155;0.2425;0.0097;-0.0793;11.6063;-20.2313;-33.3938;
0.817229;0.0869;0.5949;0.9155;0.2425;0.0097;-0.0793;11.6063;-20.2313;-33.3938;
0.838033;0.0869;0.5949;0.9155;0.2425;0.0097;-0.0793;11.3813;-21.6000;-33.1125;
0.859218;0.0869;0.5949;0.9155;0.4334;-0.0433;-0.0266;11.3813;-21.6000;-33.1125;
0.860528;0.0968;0.5492;0.8041;0.4334;-0.0433;-0.0266;11.3813;-21.6000;-33.1125;
0.861955;0.0968;0.5492;0.8041;0.4334;-0.0433;-0.0266;11.3813;-21.6000;-33.1125;
0.933974;0.0968;0.5492;0.8041;0.4334;-0.0433;-0.0266;11.3813;-21.6000;-33.1125;
0.934901;0.1112;0.5354;0.6898;0.4334;-0.0433;-0.0266;11.3813;-21.6000;-33.1125;
0.936263;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;11.3813;-21.6000;-33.1125;
0.937980;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;11.3813;-21.6000;-33.1125;
0.939054;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;9.7313;-23.0250;-30.5250;
0.975876;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;9.7313;-23.0250;-30.5250;
0.992563;0.1112;0.5354;0.6898;0.5469;-0.3478;-0.2402;11.6625;-24.0000;-32.6063;
1.016600;0.0458;0.5432;0.5995;0.5469;-0.3478;-0.2402;11.6625;-24.0000;-32.6063;
1.017179;0.0458;0.5432;0.5995;0.3326;0.0143;-0.2314;11.6625;-24.0000;-32.6063;
1.040260;0.0458;0.5432;0.5995;0.3326;0.0143;-0.2314;13.1813;-25.5188;-31.2188;
